5,12568,1351
6,13405,1093
2,1765,334
4,8030,724
2,3818,610
2,4236,679
2,2174,227
2,2111,267
2,2097,499
3,3305,437
2,2109,417
2,2100,453
2,2127,333
2,2106,388
2,2105,1087
2,2099,454
2,3863,548
4,7905,591
2,2675,255
1,1571,235
2,1954,367
10,15263,612
16,25673,1075
2,3712,254
1,2172,227
6,11859,420
1,2172,212
1,2172,188
3,4448,323
2,2323,245
5,15271,617
1,2067,274
2,4045,366
3,3285,394
8,16039,719
3,4686,417
1,2184,342
6,11426,490
5,8092,385
2,1796,605
2,2088,315
3,4250,414
2,1782,349
9,18071,1237
2,5910,402
1,3670,216
2,4058,338
2,2329,311
2,3931,387
3,6690,443
2,3808,291
4,7625,362
3,7487,493
1,3670,228
3,7764,319
6,10034,725
2,2084,392
2,1950,536
2,1707,382
2,1660,381
2,1693,443
2,3139,385
3,3131,373
3,3543,292
7,13870,2632
3,3143,634
5,8092,675
2,1945,239
3,3123,503
2,1811,244
2,1956,298
12,20493,1055
2,3116,259
3,3187,341
2,2139,376
2,1963,253
9,14011,745
2,3398,288
2,2064,253
2,1947,311
2,1967,234
2,1947,338
2,1973,240
1,1793,232
2,2435,352
2,2488,326
7,11903,693
7,11899,1062
2,3513,631
9,14229,1224
8,12279,638
9,15234,828
8,12550,782
8,12025,654
9,13652,739
1,1661,218
8,13491,675
2,5475,272
2,1901,259
1,1531,306
2,2037,303
2,1922,380
2,1860,338
8,13350,759
10,16775,699
