Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Dec 04 12:47:29 EST 2023,RunF23A5Tests.java,1701712049106,42879,0,(F)1(D)1(F)1(D)1,0.0,50.0,0.0,50.0,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Dec 04 12:47:29 EST 2023,RunF23A5Tests.java, 1701712049106
2,,Mon Dec 04 12:48:12 EST 2023,BasicExpressionImpl.java,1701712092044,35712,0,(D)3(F)1(I)4,50.0,37.5,0.0,12.5,0.0,0.0,0.22857142857142856,0.0,0.08571428571428572,0.02857142857142857,0.0,0.0,0.11428571428571428,0.0,[]
3,,Mon Dec 04 12:48:49 EST 2023,BasicExpressionImpl.java,1701712129083,196375,0,(I)2(F)6(I)1(F)2(D)1(F)1(D)2,20.0,20.0,0.0,60.0,0.0,0.0,0.07653061224489796,0.0,0.015306122448979591,0.04591836734693878,0.0,0.0,0.015306122448979591,0.0,[]
4,,Mon Dec 04 12:52:06 EST 2023,EnvironmentImpl.java,1701712326075,113240,0,(F)3(I)8(F)5,50.0,0.0,0.0,50.0,0.0,0.0,0.1415929203539823,0.0,0.0,0.07079646017699115,0.0,0.0,0.07079646017699115,0.0,[]
5,,Mon Dec 04 13:23:16 EST 2023,OperationRegistererImpl.java,1701714196375,33522,0,(F)3(D)1(F)1(D)2(I)1(F)1(I)3,33.33333333333333,25.0,0.0,41.66666666666667,0.0,0.0,0.36363636363636365,0.0,0.09090909090909091,0.15151515151515152,0.0,0.0,0.12121212121212122,0.0,[]
6,,Mon Dec 04 13:23:50 EST 2023,OperationRegistererImpl.java,1701714230746,51552,0,(I)1(F)14(I)4(R)2(I)3,33.33333333333333,0.0,0.0,58.333333333333336,8.333333333333332,0.0,0.47058823529411764,0.0,0.0,0.27450980392156865,0.0,0.0392156862745098,0.1568627450980392,0.0,[]
7,,Mon Dec 04 13:24:42 EST 2023,OperationRegistererImpl.java,1701714282362,4477,4477,(I)24(R)1,96.0,0.0,0.0,0.0,4.0,0.0,6.25,0.0,0.0,0.0,0.0,0.25,6.0,0.0,[]
8,,Mon Dec 04 13:24:47 EST 2023,OperationRegistererImpl.java,1701714287484,18495,0,(F)5(I)1(R)1(F)1(I)16,70.83333333333334,0.0,0.0,25.0,4.166666666666666,0.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.05555555555555555,0.9444444444444444,0.0,[]
9,,Mon Dec 04 13:25:06 EST 2023,OperationRegistererImpl.java,1701714306518,6518,6518,(I)9(R)2(I)4(R)1(I)8,87.5,0.0,0.0,0.0,12.5,0.0,4.0,0.0,0.0,0.0,0.0,0.5,3.5,0.0,[]
