Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Nov 20 13:16:42 EST 2023,BasicExpressionImpl.java,1700504202525,9202,9202,(I)8(F)2(I)5(R)1(I)4(R)1(I)2,82.6086956521739,0.0,0.0,8.695652173913043,8.695652173913043,0.0,2.5555555555555554,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,2.111111111111111,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Nov 20 13:16:42 EST 2023,BasicExpressionImpl.java, 1700504202525
2,,Mon Nov 20 13:16:51 EST 2023,BasicExpressionImpl.java,1700504211785,5928,5928,(I)3(R)1(I)13(R)2(I)4(R)1(I)1,84.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.8,4.2,0.0,[]
3,,Mon Nov 20 13:16:57 EST 2023,BasicExpressionImpl.java,1700504217881,11127,0,(I)18(F)2(I)5,92.0,0.0,0.0,8.0,0.0,0.0,2.272727272727273,0.0,0.0,0.18181818181818182,0.0,0.0,2.090909090909091,0.0,[]
4,,Mon Nov 20 13:17:09 EST 2023,BasicExpressionImpl.java,1700504229071,-494,-494,(I)5(F)2(I)7(F)2(R)1(F)2(I)6,72.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Mon Nov 20 13:17:08 EST 2023,BasicExpressionImpl.java,1700504228764,35011,0,(I)4(R)1(I)1(R)1(I)6(R)1(I)11,88.0,0.0,0.0,0.0,12.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.08571428571428572,0.6285714285714286,0.0,[]
6,,Mon Nov 20 13:17:43 EST 2023,BasicExpressionImpl.java,1700504263999,30908,0,(R)4(I)2(F)2(I)10(R)2(I)5,68.0,0.0,0.0,8.0,24.0,0.0,0.8333333333333334,0.0,0.0,0.06666666666666667,0.0,0.2,0.5666666666666667,0.0,[]
7,,Mon Nov 20 13:18:15 EST 2023,BasicExpressionImpl.java,1700504295080,54239,0,(I)6(R)1(I)1(R)1(I)11(F)2,81.81818181818183,0.0,0.0,9.090909090909092,9.090909090909092,0.0,0.4074074074074074,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.3333333333333333,0.0,[]
8,,Mon Nov 20 13:19:11 EST 2023,BasicExpressionImpl.java,1700504351181,30302,0,(I)4(F)4(I)17,84.0,0.0,0.0,16.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.13333333333333333,0.0,0.0,0.7,0.0,[]
9,,Mon Nov 20 13:19:42 EST 2023,BasicExpressionImpl.java,1700504382270,28535,0,(I)4(R)2(F)2(I)3(R)4(I)1(F)3,42.10526315789473,0.0,0.0,26.31578947368421,31.57894736842105,0.0,0.6785714285714286,0.0,0.0,0.17857142857142858,0.0,0.21428571428571427,0.2857142857142857,0.0,[]
10,,Mon Nov 20 13:20:12 EST 2023,BasicExpressionImpl.java,1700504412383,19323,0,(F)3(I)3(R)2(I)8(R)5(F)2(I)2,52.0,0.0,0.0,20.0,28.000000000000004,0.0,1.3157894736842106,0.0,0.0,0.2631578947368421,0.0,0.3684210526315789,0.6842105263157895,0.0,[]
11,,Mon Nov 20 13:20:32 EST 2023,BasicExpressionImpl.java,1700504432061,36484,0,(I)22,100.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,[]
12,,Mon Nov 20 13:21:09 EST 2023,BasicExpressionImpl.java,1700504469272,11488,0,(I)7(R)1(I)3(R)1(I)1(R)1(I)1(R)1(I)9,84.0,0.0,0.0,0.0,16.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.36363636363636365,1.9090909090909092,0.0,[]
13,,Mon Nov 20 13:21:20 EST 2023,BasicExpressionImpl.java,1700504480906,12454,0,(I)24,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,[]
14,,Mon Nov 20 13:21:33 EST 2023,BasicExpressionImpl.java,1700504493417,5317,5317,(I)25,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
15,,Mon Nov 20 13:21:38 EST 2023,BasicExpressionImpl.java,1700504498811,123769,0,(I)9(R)1(I)1(F)1(I)1(R)1(F)1(I)10,84.0,0.0,0.0,8.0,8.0,0.0,0.2032520325203252,0.0,0.0,0.016260162601626018,0.0,0.016260162601626018,0.17073170731707318,0.0,[]
